X;Clone;molecule;conc;time;Nsurv;replicate;day;Ninit;Nmort
1;AL0;C;0;0;10;324;18-juil;10;0
2;AL0;C;0;1;10;324;18-juil;10;0
3;AL0;C;0;2;10;324;18-juil;10;0
4;AL0;C;0.064;0;10;61;18-juil;10;0
5;AL0;C;0.064;1;10;61;18-juil;10;0
6;AL0;C;0.064;2;9;61;18-juil;10;1
7;AL0;C;0.129;0;10;583;18-juil;10;0
8;AL0;C;0.129;1;10;583;18-juil;10;0
9;AL0;C;0.129;2;10;583;18-juil;10;0
10;AL0;C;0.166;0;10;361;18-juil;10;0
11;AL0;C;0.166;1;10;361;18-juil;10;0
12;AL0;C;0.166;2;9;361;18-juil;10;1
13;AL0;C;0.191;0;10;654;18-juil;10;0
14;AL0;C;0.191;1;10;654;18-juil;10;0
15;AL0;C;0.191;2;10;654;18-juil;10;0
16;AL0;C;0.248;0;10;833;18-juil;10;0
17;AL0;C;0.248;1;10;833;18-juil;10;0
18;AL0;C;0.248;2;9;833;18-juil;10;1
19;AL0;C;0.305;0;10;186;18-juil;10;0
20;AL0;C;0.305;1;10;186;18-juil;10;0
21;AL0;C;0.305;2;8;186;18-juil;10;2
22;AL0;C;0.519;0;10;10;18-juil;10;0
23;AL0;C;0.519;1;2;10;18-juil;10;8
24;AL0;C;0.519;2;1;10;18-juil;10;9
25;AL0;C;0;0;10;662;29-juil;10;0
26;AL0;C;0;1;10;662;29-juil;10;0
27;AL0;C;0;2;9;662;29-juil;10;1
28;AL0;C;0.595;0;10;291;29-juil;10;0
29;AL0;C;0.595;1;6;291;29-juil;10;4
30;AL0;C;0.595;2;1;291;29-juil;10;9
31;AL0;C;0;0;10;279;05-août;10;0
32;AL0;C;0;1;10;279;05-août;10;0
33;AL0;C;0;2;10;279;05-août;10;0
34;AL0;C;0.37;0;10;207;05-août;10;0
35;AL0;C;0.37;1;8;207;05-août;10;2
36;AL0;C;0.37;2;5;207;05-août;10;5
37;AL0;C;0.431;0;10;581;05-août;10;0
38;AL0;C;0.431;1;7;581;05-août;10;3
