Clone;molecule;conc;time;Nsurv;replicate;day
AL0;C;0.00;0;10;ControlA;18-juil
AL0;C;0.00;1;10;ControlA;18-juil
AL0;C;0.00;2;10;ControlA;18-juil
AL0;C;0.064;0;10;AA;18-juil
AL0;C;0.064;1;10;AA;18-juil
AL0;C;0.064;2;9;AA;18-juil
AL0;C;0.129;0;10;AB;18-juil
AL0;C;0.129;1;10;AB;18-juil
AL0;C;0.129;2;10;AB;18-juil
AL0;C;0.166;0;10;AC;18-juil
AL0;C;0.166;1;10;AC;18-juil
AL0;C;0.166;2;9;AC;18-juil
AL0;C;0.191;0;10;AD;18-juil
AL0;C;0.191;1;10;AD;18-juil
AL0;C;0.191;2;10;AD;18-juil
AL0;C;0.248;0;10;AE;18-juil
AL0;C;0.248;1;10;AE;18-juil
AL0;C;0.248;2;9;AE;18-juil
AL0;C;0.305;0;10;AF;18-juil
AL0;C;0.305;1;10;AF;18-juil
AL0;C;0.305;2;8;AF;18-juil
AL0;C;0.519;0;10;AG;18-juil
AL0;C;0.519;1;2;AG;18-juil
AL0;C;0.519;2;1;AG;18-juil
AL0;C;0.00;0;10;ControlB;29-juil
AL0;C;0.00;1;10;ControlB;29-juil
AL0;C;0.00;2;9;ControlB;29-juil
AL0;C;0.595;0;10;BA;29-juil
AL0;C;0.595;1;6;BA;29-juil
AL0;C;0.595;2;1;BA;29-juil
AL0;C;0.00;0;10;ControlC;05-août
AL0;C;0.00;1;10;ControlC;05-août
AL0;C;0.00;2;10;ControlC;05-août
AL0;C;0.370;0;10;CA;05-août
AL0;C;0.370;1;8;CA;05-août
AL0;C;0.370;2;5;CA;05-août
AL0;C;0.431;0;10;CB;05-août
AL0;C;0.431;1;7;CB;05-août
AL0;C;0.431;2;1;CB;05-août
AL0;C;0.00;0;20;ControlD;02-sept
AL0;C;0.00;1;20;ControlD;02-sept
AL0;C;0.00;2;20;ControlD;02-sept
AL0;C;0.064;0;10;DA;02-sept
AL0;C;0.064;1;10;DA;02-sept
AL0;C;0.064;2;10;DA;02-sept
AL0;C;0.129;0;10;DB;02-sept
AL0;C;0.129;1;10;DB;02-sept
AL0;C;0.129;2;10;DB;02-sept
AL0;C;0.166;0;10;DC;02-sept
AL0;C;0.166;1;10;DC;02-sept
AL0;C;0.166;2;10;DC;02-sept
AL0;C;0.191;0;10;DE;02-sept
AL0;C;0.191;1;10;DE;02-sept
AL0;C;0.191;2;10;DE;02-sept
AL0;C;0.248;0;10;DF;02-sept
AL0;C;0.248;1;10;DF;02-sept
AL0;C;0.248;2;9;DF;02-sept
AL0;C;0.305;0;10;DG;02-sept
AL0;C;0.305;1;9;DG;02-sept
AL0;C;0.305;2;8;DG;02-sept
AL0;C;0.370;0;10;DH;02-sept
AL0;C;0.370;1;9;DH;02-sept
AL0;C;0.370;2;5;DH;02-sept
AL0;C;0.431;0;10;DI;02-sept
AL0;C;0.431;1;5;DI;02-sept
AL0;C;0.431;2;1;DI;02-sept
AL0;C;0.519;0;10;DJ;02-sept
AL0;C;0.519;1;4;DJ;02-sept
AL0;C;0.519;2;0;DJ;02-sept
AL0;C;0.595;0;10;DK;02-sept
AL0;C;0.595;1;3;DK;02-sept
AL0;C;0.595;2;0;DK;02-sept
AL0;C;0.00;0;10;ControlE;09-sept
AL0;C;0.00;1;10;ControlE;09-sept
AL0;C;0.00;2;10;ControlE;09-sept
AL0;C;0.064;0;10;EA;09-sept
AL0;C;0.064;1;10;EA;09-sept
AL0;C;0.064;2;10;EA;09-sept
AL0;C;0.248;0;10;EB;09-sept
AL0;C;0.248;1;10;EB;09-sept
AL0;C;0.248;2;10;EB;09-sept
AL0;C;0.305;0;10;EC;09-sept
AL0;C;0.305;1;10;EC;09-sept
AL0;C;0.305;2;10;EC;09-sept
AL0;C;0.370;0;10;ED;09-sept
AL0;C;0.370;1;9;ED;09-sept
AL0;C;0.370;2;8;ED;09-sept
AL0;C;0.431;0;10;EE;09-sept
AL0;C;0.431;1;2;EE;09-sept
AL0;C;0.431;2;2;EE;09-sept
AL0;C;0.519;0;10;EF;09-sept
AL0;C;0.519;1;2;EF;09-sept
AL0;C;0.519;2;2;EF;09-sept
AL0;C;0.595;0;10;EG;09-sept
AL0;C;0.595;1;2;EG;09-sept
AL0;C;0.595;2;1;EG;09-sept
AL0;C;0.00;0;20;ControlF;15-sept
AL0;C;0.00;1;20;ControlF;15-sept
AL0;C;0.00;2;20;ControlF;15-sept
AL0;C;0.166;0;10;FA;15-sept
AL0;C;0.166;1;10;FA;15-sept
AL0;C;0.166;2;10;FA;15-sept
AL0;C;0.191;0;10;FB;15-sept
AL0;C;0.191;1;10;FB;15-sept
AL0;C;0.191;2;10;FB;15-sept
AL0;C;0.248;0;10;FC;15-sept
AL0;C;0.248;1;10;FC;15-sept
AL0;C;0.248;2;10;FC;15-sept
AL0;C;0.305;0;10;FD;15-sept
AL0;C;0.305;1;10;FD;15-sept
AL0;C;0.305;2;9;FD;15-sept
AL0;C;0.370;0;10;FE;15-sept
AL0;C;0.370;1;7;FE;15-sept
AL0;C;0.370;2;2;FE;15-sept
AL0;C;0.431;0;10;FF;15-sept
AL0;C;0.431;1;5;FF;15-sept
AL0;C;0.431;2;1;FF;15-sept
AL0;C;0.519;0;10;FG;15-sept
AL0;C;0.519;1;6;FG;15-sept
AL0;C;0.519;2;0;FG;15-sept
AL0;C;0.595;0;10;FH;15-sept
AL0;C;0.595;1;5;FH;15-sept
AL0;C;0.595;2;0;FH;15-sept
AL0;C;0.00;0;10;ControlG;16-sept
AL0;C;0.00;1;10;ControlG;16-sept
AL0;C;0.00;2;10;ControlG;16-sept
AL0;C;0.064;0;10;GA;16-sept
AL0;C;0.064;1;10;GA;16-sept
AL0;C;0.064;2;9;GA;16-sept
AL0;C;0.129;0;10;GB;16-sept
AL0;C;0.129;1;10;GB;16-sept
AL0;C;0.129;2;10;GB;16-sept
AL0;C;0.166;0;10;GC;16-sept
AL0;C;0.166;1;10;GC;16-sept
AL0;C;0.166;2;10;GC;16-sept
AL0;C;0.191;0;10;GD;16-sept
AL0;C;0.191;1;10;GD;16-sept
AL0;C;0.191;2;10;GD;16-sept
AL0;C;0.248;0;10;GE;16-sept
