ID;time;volume;type;MIT_conc_nom;CMIT_conc_nom;CMITMIT_conc_nom;MIT_conc_theo;CMIT_conc_theo;SI_conc_theo;replicate;MIT;CMIT;SI
BLANC_R1;NA;NA;control;0;0;0;0;0;0;1;0,00;0,00;0,00
G_CM_0-8_R1;NA;NA;range;0.2;0.6;0.8;0.2;0.6;0.2;1;1738.208;6931.124;1890.581
G_CM_0-6_R1;NA;NA;range;0.15;0.45;0.6;0.15;0.45;0.2;1;1322.851;5343.259;1924.108
G_CM_0-2_R1;NA;NA;range;0.05;0.15;0.2;0.05;0.15;0.2;1;494.017;1996.523;2155.752
G_CM_0-04_R1;NA;NA;range;0.01;0.03;0.04;0.01;0.03;0.2;1;89.158;415.199;2162.178
G_CM_0-02_R1;NA;NA;range;0.005;0.015;0.02;0.005;0.015;0.2;1;58.371;236.121;2177.129
G_M_6-5m_R1;NA;NA;range;6.5;0;0;6.5;0;1.5;1;21026.938;0,00;6274.72
G_M_5-5m_R1;NA;NA;range;5.5;0;0;5.5;0;1.5;1;18390.807;0,00;6623.497
G_M_1-5m_R1;NA;NA;range;1.5;0;0;1.5;0;1.5;1;6870.804;0,00;8858.648
G_M_0-2m_R1;NA;NA;range;0.2;0;0;0.2;0;1.5;1;1142.424;0,00;10611.18
G_M_0-1m_R1;NA;NA;range;0.1;0;0;0.1;0;1.5;1;575.939;0,00;10868.87
G_M_90u_R1;NA;NA;range;90;0;0;90;0;50;1;761.075;0,00;458.223
G_M_75u_R1;NA;NA;range;75;0;0;75;0;50;1;602.011;0,00;515.456
G_M_50u_R1;NA;NA;range;50;0;0;50;0;50;1;421.388;0,00;491.439
G_M_25u_R1;NA;NA;range;25;0;0;25;0;50;1;212.011;0,00;547.394
G_M_10u_R1;NA;NA;range;10;0;0;10;0;50;1;77.343;0,00;557.499
G_M_1-6u_R1;NA;NA;range;1.6;0;0;1.6;0;0.8;1;18.434;0,00;11.588
G_M_1-2u_R1;NA;NA;range;1.2;0;0;1.2;0;0.8;1;14.573;0,00;16.656
G_M_0-8u_R1;NA;NA;range;0.8;0;0;0.8;0;0.8;1;8.326;0,00;10.612
G_M_0-4u_R1;NA;NA;range;0.4;0;0;0.4;0;0.8;1;3.561;0,00;8.614
